CVE-2012-3412	v3.2.30~89
CVE-2012-4461	v3.2.36~169
CVE-2012-3511	v3.2.23~4
CVE-2012-2669	v3.2.22~45
CVE-2012-2372	v3.2.55~79
CVE-2012-2119	v3.2.24~94
CVE-2012-2390	v3.2.20~57
CVE-2012-2375	v3.2.15~10
CVE-2011-4131	v3.2.2~106
CVE-2012-2136	v3.2.23~21
CVE-2012-3430	v3.2.31~55
CVE-2012-3400	v3.2.23~23
CVE-2012-2137	v3.2.24~89
CVE-2012-2319	v3.2.17~19
CVE-2012-2745	v3.2.15~4
CVE-2012-3364	v3.2.23~45
CVE-2012-2313	v3.2.19~34
CVE-2012-3520	v3.2.30~67
CVE-2012-0957	v3.2.33~42
CVE-2012-6536	v3.2.31~27
CVE-2012-4508	v3.2.33~71
CVE-2012-4530	v3.2.40~6
CVE-2012-4565	v3.2.34~12
CVE-2012-6538	v3.2.31~32
CVE-2012-6539	v3.2.30~69
CVE-2012-6540	v3.2.30~70
CVE-2012-6541	v3.2.30~71
CVE-2012-6545	v3.2.30~74
CVE-2012-6548	v3.2.42~65
CVE-2012-6547	v3.2.28~27
CVE-2012-6549	v3.2.42~64
CVE-2012-6544	v3.2.30~73
CVE-2012-6657	v3.2.31~14
CVE-2012-6546	v3.2.30~79
CVE-2012-6537	v3.2.31~29
CVE-2012-6542	v3.2.30~72
CVE-2012-6638	v3.2.24~107
CVE-2012-6647	v3.2.27~46
CVE-2012-5517	v3.2.41~8
CVE-2012-6689	v3.2.30~66
CVE-2012-6701	v3.2.19~85
CVE-2012-6704	v3.2.85~25
CVE-2013-0871	v3.2.39~33
CVE-2013-0217	v3.2.39~11
CVE-2013-0231	v3.2.40~34
CVE-2013-1797	v3.2.44~5
CVE-2013-0268	v3.2.38~35
CVE-2013-0311	v3.2.40~17
CVE-2013-0216	v3.2.39~9
CVE-2013-0313	v3.2.38~58
CVE-2013-0343	v3.2.52~143
CVE-2013-0913	v3.2.42~36
CVE-2013-0310	v3.2.28~34
CVE-2013-1059	v3.2.49~23
CVE-2013-0349	v3.2.38~51
CVE-2013-0160	v3.2.45~46
CVE-2013-1774	v3.2.38~64
CVE-2013-1792	v3.2.41~27
CVE-2013-0914	v3.2.41~19
CVE-2013-1773	v3.2.41~2
CVE-2013-1767	v3.2.40~54
CVE-2013-1796	v3.2.44~6
CVE-2013-1798	v3.2.44~4
CVE-2013-1826	v3.2.31~35
CVE-2013-1928	v3.2.33~8
CVE-2013-1929	v3.2.43~40
CVE-2013-2094	v3.2.45~42
CVE-2013-1848	v3.2.41~28
CVE-2013-1860	v3.2.41~20
CVE-2013-2146	v3.2.45~41
CVE-2013-2141	v3.2.44~26
CVE-2013-2147	v3.2.52~11
CVE-2013-2234	v3.2.50~79
CVE-2013-2232	v3.2.50~80
CVE-2013-2148	v3.2.50~55
CVE-2013-2596	v3.2.45~37
CVE-2013-2634	v3.2.42~78
CVE-2013-2164	v3.2.49~6
CVE-2013-2850	v3.2.47~75
CVE-2013-2237	v3.2.51~106
CVE-2013-2851	v3.2.49~20
CVE-2013-2852	v3.2.47~15
CVE-2013-2888	v3.2.52~113
CVE-2013-2893	v3.2.52~82
CVE-2013-2892	v3.2.52~98
CVE-2013-2895	v3.2.52~80
CVE-2013-2896	v3.2.52~97
CVE-2013-2899	v3.2.52~96
CVE-2013-4162	v3.2.50~72
CVE-2013-2889	v3.2.52~83
CVE-2013-2930	v3.12.2~98
CVE-2013-4312	v3.2.78~7
CVE-2013-3232	v3.2.45~14
CVE-2013-3076	v3.2.44^0
CVE-2013-3234	v3.2.45~13
CVE-2013-3222	v3.2.45~22
CVE-2013-3223	v3.2.45~21
CVE-2013-3224	v3.2.45~20
CVE-2013-4299	v3.2.53~19
CVE-2013-4513	v3.12~28
CVE-2013-4516	v3.12~24
CVE-2013-4348	v3.2.54~7
CVE-2013-4387	v3.2.52~45
CVE-2013-4350	v3.2.52~48
CVE-2013-4345	v3.2.54~14
CVE-2013-4512	v3.2.53~6
CVE-2013-4483	v3.2.57~14
CVE-2013-4515	v3.2.53~3
CVE-2013-4514	v3.2.53~4
CVE-2013-4579	v3.2.55~57
CVE-2013-4511	v3.2.53~6
CVE-2013-4587	v3.2.54~45
CVE-2013-4563	v3.12.4~82
CVE-2013-6367	v3.2.54~44
CVE-2013-4592	v3.2.54~13
CVE-2013-6376	v3.12.6~102
CVE-2013-6378	v3.2.54~10
CVE-2013-6380	v3.2.54~9
CVE-2013-6885	v3.2.67~15
CVE-2013-6368	v3.2.55~56
CVE-2013-6381	v3.2.54~150
CVE-2013-6382	v3.2.54~8
CVE-2013-6383	v3.2.53~5
CVE-2013-6432	v3.12.4~56
CVE-2013-7026	v3.12.2~105
CVE-2013-7027	v3.2.53~22
CVE-2013-7446	v3.2.75~52
CVE-2013-7339	v3.2.55~71
CVE-2013-7348	v3.12.4~6
CVE-2014-0038	v3.12.10~126
CVE-2014-0049	v3.12.14~75
CVE-2014-0055	v3.2.58~88
CVE-2014-0069	v3.2.57~3
CVE-2014-0077	v3.2.58~89
CVE-2014-0100	v3.12.18~50
CVE-2014-0101	v3.2.56~4
CVE-2014-0131	v3.2.61~2
CVE-2014-0196	v3.2.59~4
CVE-2014-0206	v3.12.24~139
CVE-2014-0155	v3.12.19~31
CVE-2014-1445	v3.2.53~71
CVE-2014-1690	v3.12.8~7
CVE-2014-1444	v3.2.53~77
CVE-2014-1737	v3.2.59~3
CVE-2014-2580	v3.12.18~9
CVE-2014-1446	v3.2.55~72
CVE-2014-1739	v3.2.60~50
CVE-2014-1738	v3.2.59~2
CVE-2014-2038	v3.12.11~68
CVE-2014-2309	v3.2.58~77
CVE-2014-2523	v3.2.57~15
CVE-2014-2672	v3.2.56~65
CVE-2014-2678	v3.2.58~82
CVE-2014-2739	v3.14.3~74
CVE-2014-2673	v3.12.15~75
CVE-2014-2851	v3.2.60~83
CVE-2014-3122	v3.2.58~17
CVE-2014-3144	v3.2.60~82
CVE-2014-3145	v3.2.60~82
CVE-2014-2706	v3.2.56~67
CVE-2014-3153	v3.2.60~2
CVE-2014-3183	v3.16.2~123
CVE-2014-3182	v3.2.63~50
CVE-2014-3181	v3.2.63~43
CVE-2014-3185	v3.2.63~48
CVE-2014-3186	v3.2.63~42
CVE-2014-3534	v3.2.62~30
CVE-2014-3601	v3.2.63~56
CVE-2014-3646	v3.2.64~19
CVE-2014-3611	v3.2.64~21
CVE-2014-3631	v3.14.19~2
